approach,config_file,total_sec,translation_sec,grounding_sec_total,solving_sec_total,peak_rss_mb
,,496.918839,13.742904,216.355132,266.814680,
optimized_multi_shot,config_ASP_Masspectrometry_No4_full_bio_tools_WC.json,744.325951,14.186280,203.950424,526.182707,43533.625
optimized_multi_shot,config_ASP_Masspectrometry_No4_full_bio_tools_WC.json,946.985024,16.649927,267.404436,662.921247,44064.125
