run_id,timestamp_utc,mode,solver_family,solver_approach,grounding_strategy,config_path,ontology_used,ontology_entry_count,tool_annotation_used,tool_count,constraints_used,constraint_count,translation_builder,translation_schema,stage,step,translation_sec,translation_peak_rss_mb,base_grounding_sec,base_grounding_peak_rss_mb,horizon_grounding_sec,step_grounding_sec,solving_sec,step_solving_sec,peak_rss_mb,raw_models_seen,raw_models_stored,unique_workflows_seen,unique_workflows_stored,raw_solutions_found,solutions_found,satisfiable,fact_count
d382f665-ebca-475b-8640-7150541bdb6a,2026-03-29T18:49:45.490864+00:00,single-shot,single-shot,legacy,hybrid,/Volumes/ZGMF-X20A/GARYU/ironAPE/APE_Example/defect_concentration/config.json,/Volumes/ZGMF-X20A/GARYU/ironAPE/APE_Example/MaterialsScience_taxonomy.owl,94,/Volumes/ZGMF-X20A/GARYU/ironAPE/APE_Example/tool_annotations.json,28,/Volumes/ZGMF-X20A/GARYU/ironAPE/APE_Example/defect_concentration/constraints_empty.json,0,runtime_legacy,legacy,horizon_1,1,,,,,0.004957,0.004957,0.000272,0.000272,24.062,,,,,,0,false,395
d382f665-ebca-475b-8640-7150541bdb6a,2026-03-29T18:49:45.490864+00:00,single-shot,single-shot,legacy,hybrid,/Volumes/ZGMF-X20A/GARYU/ironAPE/APE_Example/defect_concentration/config.json,/Volumes/ZGMF-X20A/GARYU/ironAPE/APE_Example/MaterialsScience_taxonomy.owl,94,/Volumes/ZGMF-X20A/GARYU/ironAPE/APE_Example/tool_annotations.json,28,/Volumes/ZGMF-X20A/GARYU/ironAPE/APE_Example/defect_concentration/constraints_empty.json,0,runtime_legacy,legacy,horizon_2,2,,,,,0.008525,0.008525,0.000682,0.000682,27.656,,,,,,0,false,395
d382f665-ebca-475b-8640-7150541bdb6a,2026-03-29T18:49:45.490864+00:00,single-shot,single-shot,legacy,hybrid,/Volumes/ZGMF-X20A/GARYU/ironAPE/APE_Example/defect_concentration/config.json,/Volumes/ZGMF-X20A/GARYU/ironAPE/APE_Example/MaterialsScience_taxonomy.owl,94,/Volumes/ZGMF-X20A/GARYU/ironAPE/APE_Example/tool_annotations.json,28,/Volumes/ZGMF-X20A/GARYU/ironAPE/APE_Example/defect_concentration/constraints_empty.json,0,runtime_legacy,legacy,horizon_3,3,,,,,0.015717,0.015717,0.001373,0.001373,32.281,,,,,,0,false,395
d382f665-ebca-475b-8640-7150541bdb6a,2026-03-29T18:49:45.490864+00:00,single-shot,single-shot,legacy,hybrid,/Volumes/ZGMF-X20A/GARYU/ironAPE/APE_Example/defect_concentration/config.json,/Volumes/ZGMF-X20A/GARYU/ironAPE/APE_Example/MaterialsScience_taxonomy.owl,94,/Volumes/ZGMF-X20A/GARYU/ironAPE/APE_Example/tool_annotations.json,28,/Volumes/ZGMF-X20A/GARYU/ironAPE/APE_Example/defect_concentration/constraints_empty.json,0,runtime_legacy,legacy,horizon_4,4,,,,,0.024575,0.024575,0.002395,0.002395,40.562,,,,,,0,false,395
d382f665-ebca-475b-8640-7150541bdb6a,2026-03-29T18:49:45.490864+00:00,single-shot,single-shot,legacy,hybrid,/Volumes/ZGMF-X20A/GARYU/ironAPE/APE_Example/defect_concentration/config.json,/Volumes/ZGMF-X20A/GARYU/ironAPE/APE_Example/MaterialsScience_taxonomy.owl,94,/Volumes/ZGMF-X20A/GARYU/ironAPE/APE_Example/tool_annotations.json,28,/Volumes/ZGMF-X20A/GARYU/ironAPE/APE_Example/defect_concentration/constraints_empty.json,0,runtime_legacy,legacy,horizon_5,5,,,,,0.036263,0.036263,0.003987,0.003987,49.609,,,,,,0,false,395
d382f665-ebca-475b-8640-7150541bdb6a,2026-03-29T18:49:45.490864+00:00,single-shot,single-shot,legacy,hybrid,/Volumes/ZGMF-X20A/GARYU/ironAPE/APE_Example/defect_concentration/config.json,/Volumes/ZGMF-X20A/GARYU/ironAPE/APE_Example/MaterialsScience_taxonomy.owl,94,/Volumes/ZGMF-X20A/GARYU/ironAPE/APE_Example/tool_annotations.json,28,/Volumes/ZGMF-X20A/GARYU/ironAPE/APE_Example/defect_concentration/constraints_empty.json,0,runtime_legacy,legacy,horizon_6,6,,,,,0.051347,0.051347,0.357199,0.357199,91.500,,,,,,8100,true,395
314a63ec-97e6-4aca-90b5-6073044d69c9,2026-03-29T18:50:00.294358+00:00,multi-shot,multi-shot,legacy,hybrid,/Volumes/ZGMF-X20A/GARYU/ironAPE/APE_Example/defect_concentration/config.json,/Volumes/ZGMF-X20A/GARYU/ironAPE/APE_Example/MaterialsScience_taxonomy.owl,94,/Volumes/ZGMF-X20A/GARYU/ironAPE/APE_Example/tool_annotations.json,28,/Volumes/ZGMF-X20A/GARYU/ironAPE/APE_Example/defect_concentration/constraints_empty.json,0,runtime_legacy,legacy,translation,0,0.005184,18.766,,,,,,,,,,,,,,,395
d7d020c9-f1cf-4f11-8eed-6290aa1b8598,2026-03-29T18:50:24.592447+00:00,multi-shot-opt,multi-shot,opt,hybrid,/Volumes/ZGMF-X20A/GARYU/ironAPE/APE_Example/defect_concentration/config.json,/Volumes/ZGMF-X20A/GARYU/ironAPE/APE_Example/MaterialsScience_taxonomy.owl,94,/Volumes/ZGMF-X20A/GARYU/ironAPE/APE_Example/tool_annotations.json,28,/Volumes/ZGMF-X20A/GARYU/ironAPE/APE_Example/defect_concentration/constraints_empty.json,0,candidate_full_variants,candidate,translation,0,0.005114,19.000,,,,,,,,,,,,,,,387
d7d020c9-f1cf-4f11-8eed-6290aa1b8598,2026-03-29T18:50:24.592447+00:00,multi-shot-opt,multi-shot,opt,hybrid,/Volumes/ZGMF-X20A/GARYU/ironAPE/APE_Example/defect_concentration/config.json,/Volumes/ZGMF-X20A/GARYU/ironAPE/APE_Example/MaterialsScience_taxonomy.owl,94,/Volumes/ZGMF-X20A/GARYU/ironAPE/APE_Example/tool_annotations.json,28,/Volumes/ZGMF-X20A/GARYU/ironAPE/APE_Example/defect_concentration/constraints_empty.json,0,candidate_full_variants,candidate,base_grounding,0,,,0.001733,21.234,,,,,,,,,,,,,387
d7d020c9-f1cf-4f11-8eed-6290aa1b8598,2026-03-29T18:50:24.592447+00:00,multi-shot-opt,multi-shot,opt,hybrid,/Volumes/ZGMF-X20A/GARYU/ironAPE/APE_Example/defect_concentration/config.json,/Volumes/ZGMF-X20A/GARYU/ironAPE/APE_Example/MaterialsScience_taxonomy.owl,94,/Volumes/ZGMF-X20A/GARYU/ironAPE/APE_Example/tool_annotations.json,28,/Volumes/ZGMF-X20A/GARYU/ironAPE/APE_Example/defect_concentration/constraints_empty.json,0,candidate_full_variants,candidate,horizon_1,1,,,,,0.005500,0.005500,0.000382,0.000382,25.328,,,,,,0,false,387
