run_id,timestamp_utc,mode,solver_family,solver_approach,grounding_strategy,config_path,ontology_used,ontology_entry_count,tool_annotation_used,tool_count,constraints_used,constraint_count,translation_builder,translation_schema,completed_stage,fact_count,translation_sec,translation_peak_rss_mb,base_grounding_sec,base_grounding_peak_rss_mb,grounding_sec_total,solving_sec_total,rendering_sec_total,total_sec,raw_models_seen,raw_solutions_found,solutions_found,grounded_horizons,first_satisfiable_horizon
a5df1cdf-a8d8-45c4-833b-26af9aaa071e,2026-04-07T18:48:01.850807+00:00,multi-shot,multi-shot,legacy,hybrid,/Volumes/ZGMF-X20A/GARYU/ape_asp_benchmarks/test_cases/metaCascabel/config_ASP_metaCascabel_NC.json,/Volumes/ZGMF-X20A/GARYU/ape_asp_benchmarks/test_cases/metaCascabel/metaCascabel.owl,150,/Volumes/ZGMF-X20A/GARYU/ape_asp_benchmarks/test_cases/metaCascabel/tool_annotations.json,38,/Volumes/ZGMF-X20A/GARYU/ape_asp_benchmarks/test_cases/constraints_empty.json,0,runtime_legacy,legacy,run,2580,0.034725,22.641,0.005194,27.422,3.021092,1.976542,0.000563,5.032922,1,1,1,"13,14",14
dd2ba534-8eba-4cf6-ae16-dc3138cf824a,2026-04-07T19:08:14.017759+00:00,multi-shot,multi-shot,legacy,hybrid,/Volumes/ZGMF-X20A/GARYU/ape_asp_benchmarks/test_cases/metaCascabel/config_ASP_metaCascabel_NC.json,/Volumes/ZGMF-X20A/GARYU/ape_asp_benchmarks/test_cases/metaCascabel/metaCascabel.owl,150,/Volumes/ZGMF-X20A/GARYU/ape_asp_benchmarks/test_cases/metaCascabel/tool_annotations.json,38,/Volumes/ZGMF-X20A/GARYU/ape_asp_benchmarks/test_cases/constraints_empty.json,0,runtime_legacy,legacy,run,2580,0.045624,24.688,0.005679,28.828,3.535414,2.346792,0.000879,5.928708,1,1,1,"13,14",14
e0e382ea-5c90-4664-8363-dedec41c972a,2026-04-07T19:16:27.277165+00:00,multi-shot,multi-shot,legacy,hybrid,/Volumes/ZGMF-X20A/GARYU/ape_asp_benchmarks/test_cases/metaCascabel/config_ASP_metaCascabel_NC.json,/Volumes/ZGMF-X20A/GARYU/ape_asp_benchmarks/test_cases/metaCascabel/metaCascabel.owl,150,/Volumes/ZGMF-X20A/GARYU/ape_asp_benchmarks/test_cases/metaCascabel/tool_annotations.json,38,/Volumes/ZGMF-X20A/GARYU/ape_asp_benchmarks/test_cases/constraints_empty.json,0,runtime_legacy,legacy,run,2580,0.039667,24.516,0.006313,29.203,3.744132,2.921569,0.001153,6.706521,1,1,1,"13,14",14
96005cac-aa18-4c92-8bb5-79f7515ef959,2026-04-07T19:18:09.135282+00:00,multi-shot,multi-shot,legacy,hybrid,/Volumes/ZGMF-X20A/GARYU/ape_asp_benchmarks/test_cases/metaCascabel/config_ASP_metaCascabel_NC.json,/Volumes/ZGMF-X20A/GARYU/ape_asp_benchmarks/test_cases/metaCascabel/metaCascabel.owl,150,/Volumes/ZGMF-X20A/GARYU/ape_asp_benchmarks/test_cases/metaCascabel/tool_annotations.json,38,/Volumes/ZGMF-X20A/GARYU/ape_asp_benchmarks/test_cases/constraints_empty.json,0,runtime_legacy,legacy,run,2580,0.037000,23.031,0.005060,27.766,3.198925,2.015237,0.000978,5.252139,1,1,1,"13,14",14
