run_id,timestamp_utc,mode,solver_family,solver_approach,grounding_strategy,config_path,ontology_used,ontology_entry_count,tool_annotation_used,tool_count,constraints_used,constraint_count,translation_builder,translation_schema,completed_stage,fact_count,translation_sec,translation_peak_rss_mb,base_grounding_sec,base_grounding_peak_rss_mb,grounding_sec_total,solving_sec_total,rendering_sec_total,total_sec,raw_models_seen,raw_solutions_found,solutions_found,grounded_horizons,first_satisfiable_horizon,optimized_enabled,effective_parallel_mode,compressed_candidate_engaged
d84be2a1-796d-42a3-a4c1-7e4ed85667e4,2026-04-12T11:42:05.949177+00:00,multi-shot,multi-shot,legacy,hybrid,/Volumes/ZGMF-X20A/GARYU/APEvASP_test_case_bench/test_cases/ImageMagick/Example1/config_ASP_ImageMagick_ex1_WC.json,/Volumes/ZGMF-X20A/GARYU/APEvASP_test_case_bench/test_cases/ImageMagick/imagemagick_taxonomy.owl,40,/Volumes/ZGMF-X20A/GARYU/APEvASP_test_case_bench/test_cases/ImageMagick/tool_annotations.json,35,/Volumes/ZGMF-X20A/GARYU/APEvASP_test_case_bench/test_cases/ImageMagick/Example1/constraints_ASP.json,1,runtime_legacy,legacy,run,508,0.008796,38.594,0.008181,43.891,0.246257,1.198301,0.035010,1.488365,1166,1000,1000,"1,2,3,4,5",4,false,,false
0f26d48a-8857-417f-8348-2fd5dc4a16d3,2026-04-12T11:42:17.527917+00:00,multi-shot,multi-shot,legacy,hybrid,/Volumes/ZGMF-X20A/GARYU/APEvASP_test_case_bench/test_cases/ImageMagick/Example1/config_ASP_ImageMagick_ex1_WC.json,/Volumes/ZGMF-X20A/GARYU/APEvASP_test_case_bench/test_cases/ImageMagick/imagemagick_taxonomy.owl,40,/Volumes/ZGMF-X20A/GARYU/APEvASP_test_case_bench/test_cases/ImageMagick/tool_annotations.json,35,/Volumes/ZGMF-X20A/GARYU/APEvASP_test_case_bench/test_cases/ImageMagick/Example1/constraints_ASP.json,1,runtime_legacy,legacy,run,508,0.009410,38.625,0.008040,43.969,0.255014,1.197041,0.036271,1.497736,1166,1000,1000,"1,2,3,4,5",4,false,,false
dc7337c2-93f6-4ed7-a9be-290dda3dc506,2026-04-12T11:43:30.850066+00:00,single-shot,single-shot,one-shot,hybrid,/Volumes/ZGMF-X20A/GARYU/APEvASP_test_case_bench/test_cases/ImageMagick/Example1/config_ASP_ImageMagick_ex1_WC.json,/Volumes/ZGMF-X20A/GARYU/APEvASP_test_case_bench/test_cases/ImageMagick/imagemagick_taxonomy.owl,40,/Volumes/ZGMF-X20A/GARYU/APEvASP_test_case_bench/test_cases/ImageMagick/tool_annotations.json,35,/Volumes/ZGMF-X20A/GARYU/APEvASP_test_case_bench/test_cases/ImageMagick/Example1/constraints_ASP.json,1,runtime_legacy,legacy,run,438,0.006018,38.234,0.007796,43.859,1.514505,62.589645,0.053157,64.163326,15665,1000,1000,8,8,false,,false
