test,mode,horizon,translation_ms,setup_grounding_ms,solving_ms,memory_used_mb,raw_models_seen,raw_solutions_found,solutions_found,constraints_used,timed_out
GeoEvents,multi-shot,3,6,122,813,121.06,1204,1000,775,true,false
GeoEvents,multi-shot,4,6,519,1063,359.86,1603,1000,1000,true,false
GeoEvents,multi-shot,1,6,31,4,39.05,0,0,0,true,false
GeoEvents,multi-shot,2,6,50,25,62.72,7,7,7,true,false
GeoEvents,multi-shot,3,6,133,839,120.05,1178,1000,775,true,false
GeoEvents,multi-shot,4,6,644,1054,357.61,1749,1000,1000,true,false
GeoEvents,multi-shot,1,7,36,4,42.31,0,0,0,true,false
GeoEvents,multi-shot,2,7,53,31,64.39,7,7,7,true,false
GeoEvents,multi-shot,3,7,148,848,126.20,1150,1000,775,true,false
GeoEvents,multi-shot,4,7,700,1319,358.55,1819,1000,1000,true,false
GeoEvents,multi-shot,1,7,33,4,41.89,0,0,0,true,false
GeoEvents,multi-shot,2,7,52,11,62.52,0,0,0,true,false
GeoEvents,multi-shot,3,7,135,35,115.64,0,0,0,true,false
GeoEvents,multi-shot,4,7,662,187,323.41,0,0,0,true,false
GeoEvents,multi-shot,1,6,32,4,40.80,0,0,0,true,false
GeoEvents,multi-shot,2,6,47,26,62.22,7,7,7,true,false
GeoEvents,multi-shot,3,6,136,800,123.69,1150,1000,775,true,false
GeoEvents,multi-shot,4,6,632,1048,369.17,1635,1000,1000,true,false
GeoEvents,multi-shot,1,7,35,4,42.97,0,0,0,true,false
GeoEvents,multi-shot,2,7,51,27,66.33,6,6,6,true,false
GeoEvents,multi-shot,3,7,135,836,128.25,1101,1000,758,true,false
GeoEvents,multi-shot,4,7,633,852,361.81,1457,1000,1000,true,false
GeoEvents,multi-shot,1,7,32,4,39.61,0,0,0,true,false
GeoEvents,multi-shot,2,7,49,26,61.59,7,7,7,true,false
GeoEvents,multi-shot,3,7,130,745,119.56,1150,1000,775,true,false
GeoEvents,multi-shot,4,7,636,1006,348.77,1777,1000,1000,true,false
GeoEvents,multi-shot,1,7,32,4,40.56,0,0,0,true,false
GeoEvents,multi-shot,2,7,48,23,61.94,7,7,7,true,false
GeoEvents,multi-shot,3,7,159,782,127.70,1072,1000,772,true,false
GeoEvents,multi-shot,4,7,843,1041,374.06,1709,1000,1000,true,false
GeoEvents,multi-shot,1,6,32,4,40.53,0,0,0,true,false
GeoEvents,multi-shot,2,6,50,27,63.28,7,7,7,true,false
GeoEvents,multi-shot,3,6,135,839,122.80,1138,1000,775,true,false
GeoEvents,multi-shot,4,6,674,1197,367.28,1785,1000,1000,true,false
GeoEvents,multi-shot,1,7,32,4,38.98,0,0,0,true,false
GeoEvents,multi-shot,2,7,48,26,60.62,7,7,7,true,false
GeoEvents,multi-shot,3,7,132,797,126.45,1148,1000,775,true,false
GeoEvents,multi-shot,4,7,636,960,350.83,1613,1000,1000,true,false
GeoEvents,multi-shot,1,7,31,4,38.77,0,0,0,true,false
GeoEvents,multi-shot,2,7,50,25,61.28,7,7,7,true,false
GeoEvents,multi-shot,3,7,134,833,120.47,1149,1000,775,true,false
GeoEvents,multi-shot,4,7,662,854,345.25,1447,1000,1000,true,false
GeoEvents,multi-shot,1,7,34,4,41.38,0,0,0,true,false
GeoEvents,multi-shot,2,7,51,26,64.78,7,7,7,true,false
GeoEvents,multi-shot,3,7,140,905,126.86,1149,1000,775,true,false
GeoEvents,multi-shot,4,7,694,844,356.14,1503,1000,1000,true,false
GeoEvents,multi-shot,1,7,37,5,43.33,0,0,0,true,false
GeoEvents,multi-shot,2,7,55,30,66.48,7,7,7,true,false
GeoEvents,multi-shot,3,7,146,898,130.08,1150,1000,775,true,false
GeoEvents,multi-shot,4,7,717,1379,364.97,1777,1000,1000,true,false
GeoEvents,multi-shot,1,6,33,4,39.53,0,0,0,true,false
GeoEvents,multi-shot,2,6,50,25,61.89,7,7,7,true,false
GeoEvents,multi-shot,3,6,137,819,119.83,1150,1150,775,true,false
GeoEvents,multi-shot,4,6,712,5605,351.84,6444,2000,2000,true,false
GeoEvents,multi-shot,1,6,31,4,38.69,0,0,0,true,false
GeoEvents,multi-shot,2,6,51,25,63.44,7,7,7,true,false
GeoEvents,multi-shot,3,6,144,854,122.52,1150,1150,775,true,false
GeoEvents,multi-shot,4,6,664,4375,364.03,3893,2500,2500,true,false
GeoEvents,multi-shot,1,6,32,4,40.95,0,0,0,true,false
GeoEvents,multi-shot,2,6,50,23,64.81,7,7,7,true,false
GeoEvents,multi-shot,3,6,150,783,129.55,1149,1149,775,true,false
GeoEvents,multi-shot,4,6,648,5547,356.42,5024,2500,2500,true,false
GeoEvents,multi-shot,1,6,33,4,41.02,0,0,0,true,false
GeoEvents,multi-shot,2,6,49,26,63.98,7,7,7,true,false
GeoEvents,multi-shot,3,6,133,815,119.89,1145,1145,775,true,false
GeoEvents,multi-shot,4,6,635,5027,370.86,4394,2500,2500,true,false
GeoEvents,multi-shot,1,6,32,4,41.50,0,0,0,true,false
GeoEvents,multi-shot,2,6,49,25,62.09,7,7,7,true,false
GeoEvents,multi-shot,3,6,142,797,126.11,1149,1149,775,true,false
GeoEvents,multi-shot,4,6,672,5149,365.03,4750,2500,2500,true,false
GeoEvents,multi-shot,1,7,35,4,42.67,0,0,0,true,false
GeoEvents,multi-shot,2,7,54,26,66.16,7,7,7,true,false
GeoEvents,multi-shot,3,7,140,827,128.88,1145,1145,775,true,false
GeoEvents,multi-shot,4,7,719,5786,375.08,4569,2500,2500,true,false
GeoEvents,multi-shot,1,7,32,4,41.09,0,0,0,true,false
GeoEvents,multi-shot,2,7,49,21,64.61,6,6,6,true,false
GeoEvents,multi-shot,3,7,128,584,122.06,733,733,677,true,false
GeoEvents,multi-shot,4,7,645,4738,370.97,3578,2500,2500,true,false
GeoEvents,multi-shot,1,6,34,4,40.73,0,0,0,true,false
GeoEvents,multi-shot,2,6,52,28,64.03,7,7,7,true,false
GeoEvents,multi-shot,3,6,142,863,129.06,1119,1119,775,true,false
GeoEvents,multi-shot,4,6,688,5642,366.62,4616,2500,2500,true,false
GeoEvents,multi-shot,1,7,35,4,41.92,1,1,1,true,false
GeoEvents,multi-shot,2,7,50,39,64.17,55,55,50,true,false
GeoEvents,multi-shot,3,7,138,1600,133.97,2859,2500,1832,true,false
GeoEvents,multi-shot,4,7,673,2293,355.83,4197,2500,2500,true,false
GeoEvents,multi-shot,1,6,34,4,41.33,0,0,0,true,false
GeoEvents,multi-shot,2,6,54,27,64.62,7,7,7,true,false
GeoEvents,multi-shot,3,6,151,671,128.81,893,893,775,true,false
GeoEvents,multi-shot,4,6,730,4657,379.72,3930,2500,2500,true,false
