run_id,timestamp_utc,mode,solver_family,solver_approach,grounding_strategy,config_path,ontology_used,ontology_entry_count,tool_annotation_used,tool_count,constraints_used,constraint_count,translation_builder,translation_schema,completed_stage,fact_count,translation_sec,translation_peak_rss_mb,base_grounding_sec,base_grounding_peak_rss_mb,grounding_sec_total,solving_sec_total,rendering_sec_total,total_sec,raw_models_seen,raw_solutions_found,solutions_found,grounded_horizons,first_satisfiable_horizon,optimized_enabled,effective_parallel_mode,compressed_candidate_engaged
6251f4ce-abfa-48ce-83d3-bb1552f66e24,2026-04-12T15:50:28.158225+00:00,multi-shot,multi-shot,legacy,hybrid,/Volumes/ZGMF-X20A/GARYU/APEvASP_test_case_bench/test_cases/defect_concentration/config_ASP_defect_2000_8_WC.json,/Volumes/ZGMF-X20A/GARYU/APEvASP_test_case_bench/test_cases/defect_concentration/MaterialsScience_taxonomy.owl,94,/Volumes/ZGMF-X20A/GARYU/APEvASP_test_case_bench/test_cases/defect_concentration/tool_annotations.json,28,/Volumes/ZGMF-X20A/GARYU/APEvASP_test_case_bench/test_cases/defect_concentration/constraints_ASP.json,17,runtime_legacy,legacy,run,632,0.010792,38.891,0.007142,43.797,0.211487,1.646379,0.109028,1.977686,2232,1500,1500,"1,2,3,4,5,6,7,8,9,10",9,false,"6,compete",false
5e71e493-f04a-42ce-99eb-0df862df84b0,2026-04-12T15:51:37.790737+00:00,multi-shot,multi-shot,legacy,hybrid,/Volumes/ZGMF-X20A/GARYU/APEvASP_test_case_bench/test_cases/defect_concentration/config_ASP_defect_2000_8_WC.json,/Volumes/ZGMF-X20A/GARYU/APEvASP_test_case_bench/test_cases/defect_concentration/MaterialsScience_taxonomy.owl,94,/Volumes/ZGMF-X20A/GARYU/APEvASP_test_case_bench/test_cases/defect_concentration/tool_annotations.json,28,/Volumes/ZGMF-X20A/GARYU/APEvASP_test_case_bench/test_cases/defect_concentration/constraints_ASP.json,17,runtime_legacy,legacy,run,632,0.011200,38.750,0.007304,44.031,0.208197,1.649716,0.107675,1.976788,2168,1500,1500,"1,2,3,4,5,6,7,8,9,10",9,false,"6,compete",false
d11ef6b7-fe30-4170-a08c-c38afd40df6d,2026-04-12T15:52:43.937530+00:00,multi-shot,multi-shot,legacy,hybrid,/Volumes/ZGMF-X20A/GARYU/APEvASP_test_case_bench/test_cases/defect_concentration/config_ASP_defect_2000_8_WC.json,/Volumes/ZGMF-X20A/GARYU/APEvASP_test_case_bench/test_cases/defect_concentration/MaterialsScience_taxonomy.owl,94,/Volumes/ZGMF-X20A/GARYU/APEvASP_test_case_bench/test_cases/defect_concentration/tool_annotations.json,28,/Volumes/ZGMF-X20A/GARYU/APEvASP_test_case_bench/test_cases/defect_concentration/constraints_ASP.json,17,runtime_legacy,legacy,run,632,0.010621,39.172,0.006578,43.609,0.207406,1.683724,0.106815,2.008566,2225,1500,1500,"1,2,3,4,5,6,7,8,9,10",9,false,"6,compete",false
84b36c23-3837-4d6a-a68e-368108e402bb,2026-04-12T15:53:52.706211+00:00,multi-shot,multi-shot,legacy,hybrid,/Volumes/ZGMF-X20A/GARYU/APEvASP_test_case_bench/test_cases/defect_concentration/config_ASP_defect_2000_8_WC.json,/Volumes/ZGMF-X20A/GARYU/APEvASP_test_case_bench/test_cases/defect_concentration/MaterialsScience_taxonomy.owl,94,/Volumes/ZGMF-X20A/GARYU/APEvASP_test_case_bench/test_cases/defect_concentration/tool_annotations.json,28,/Volumes/ZGMF-X20A/GARYU/APEvASP_test_case_bench/test_cases/defect_concentration/constraints_ASP.json,17,runtime_legacy,legacy,run,632,0.010837,38.734,0.006641,43.516,0.201316,2.173642,0.104420,2.490215,3120,1500,1080,"1,2,3,4,5,6,7,8,9,10",9,false,"6,compete",false
e3b0c729-3917-4758-9b23-e01f4c9a0eda,2026-04-12T15:58:45.457980+00:00,multi-shot,multi-shot,legacy,hybrid,/Volumes/ZGMF-X20A/GARYU/APEvASP_test_case_bench/test_cases/defect_concentration/config_ASP_defect_2000_8_WC.json,/Volumes/ZGMF-X20A/GARYU/APEvASP_test_case_bench/test_cases/defect_concentration/MaterialsScience_taxonomy.owl,94,/Volumes/ZGMF-X20A/GARYU/APEvASP_test_case_bench/test_cases/defect_concentration/tool_annotations.json,28,/Volumes/ZGMF-X20A/GARYU/APEvASP_test_case_bench/test_cases/defect_concentration/constraints_ASP.json,17,runtime_legacy,legacy,run,632,0.011123,38.688,0.007761,44.203,0.228418,2.318457,0.107360,2.665358,3120,1500,1080,"1,2,3,4,5,6,7,8,9,10",9,false,"6,compete",false
893e1073-650c-4e10-aaf2-bf9bc57c8a36,2026-04-12T16:00:56.001392+00:00,multi-shot,multi-shot,legacy,hybrid,/Volumes/ZGMF-X20A/GARYU/APEvASP_test_case_bench/test_cases/defect_concentration/config_ASP_defect_2000_8_WC.json,/Volumes/ZGMF-X20A/GARYU/APEvASP_test_case_bench/test_cases/defect_concentration/MaterialsScience_taxonomy.owl,94,/Volumes/ZGMF-X20A/GARYU/APEvASP_test_case_bench/test_cases/defect_concentration/tool_annotations.json,28,/Volumes/ZGMF-X20A/GARYU/APEvASP_test_case_bench/test_cases/defect_concentration/constraints_ASP.json,17,runtime_legacy,legacy,run,632,0.011624,38.953,0.007853,44.000,0.241844,2.404417,0.105828,2.763713,3120,1500,1080,"1,2,3,4,5,6,7,8,9,10",9,false,"6,compete",false
d18e52de-8ab7-464e-a3c1-7b705e3206cb,2026-04-12T16:03:47.658127+00:00,multi-shot,multi-shot,legacy,hybrid,/Volumes/ZGMF-X20A/GARYU/APEvASP_test_case_bench/test_cases/defect_concentration/config_ASP_defect_2000_8_WC.json,/Volumes/ZGMF-X20A/GARYU/APEvASP_test_case_bench/test_cases/defect_concentration/MaterialsScience_taxonomy.owl,94,/Volumes/ZGMF-X20A/GARYU/APEvASP_test_case_bench/test_cases/defect_concentration/tool_annotations.json,28,/Volumes/ZGMF-X20A/GARYU/APEvASP_test_case_bench/test_cases/defect_concentration/constraints_ASP.json,17,runtime_legacy,legacy,run,632,0.011726,39.078,0.007624,43.875,0.271120,2.416341,0.109964,2.809151,3120,1500,1080,"1,2,3,4,5,6,7,8,9,10",9,false,"6,compete",false
c93da13f-575d-46ad-8858-18fc56e490a3,2026-04-12T16:10:35.301975+00:00,multi-shot,multi-shot,legacy,hybrid,/Volumes/ZGMF-X20A/GARYU/APEvASP_test_case_bench/test_cases/defect_concentration/config_ASP_defect_2000_8_WC.json,/Volumes/ZGMF-X20A/GARYU/APEvASP_test_case_bench/test_cases/defect_concentration/MaterialsScience_taxonomy.owl,94,/Volumes/ZGMF-X20A/GARYU/APEvASP_test_case_bench/test_cases/defect_concentration/tool_annotations.json,28,/Volumes/ZGMF-X20A/GARYU/APEvASP_test_case_bench/test_cases/defect_concentration/constraints_ASP.json,17,runtime_legacy,legacy,run,688,0.011869,39.266,0.007776,44.328,0.233332,2.534357,0.127942,2.907500,3120,1500,1080,"1,2,3,4,5,6,7,8,9,10",9,false,"6,compete",false
60e962a0-f1bf-4f08-8ff6-10c6d1e95de8,2026-04-12T16:19:45.646520+00:00,multi-shot,multi-shot,legacy,hybrid,/Volumes/ZGMF-X20A/GARYU/APEvASP_test_case_bench/test_cases/defect_concentration/config_ASP_defect_2000_8_WC.json,/Volumes/ZGMF-X20A/GARYU/APEvASP_test_case_bench/test_cases/defect_concentration/MaterialsScience_taxonomy.owl,94,/Volumes/ZGMF-X20A/GARYU/APEvASP_test_case_bench/test_cases/defect_concentration/tool_annotations.json,28,/Volumes/ZGMF-X20A/GARYU/APEvASP_test_case_bench/test_cases/defect_concentration/constraints_ASP.json,17,runtime_legacy,legacy,run,632,0.009982,38.844,0.007096,43.578,0.210879,2.131904,0.107613,2.460379,3120,1500,1080,"1,2,3,4,5,6,7,8,9,10",9,false,"6,compete",false
bc3a1f53-7051-4ef6-be9c-226bbecdc7bc,2026-04-12T16:38:27.003017+00:00,multi-shot,multi-shot,legacy,hybrid,/Volumes/ZGMF-X20A/GARYU/APEvASP_test_case_bench/test_cases/defect_concentration/config_ASP_defect_2000_8_WC.json,/Volumes/ZGMF-X20A/GARYU/APEvASP_test_case_bench/test_cases/defect_concentration/MaterialsScience_taxonomy.owl,94,/Volumes/ZGMF-X20A/GARYU/APEvASP_test_case_bench/test_cases/defect_concentration/tool_annotations.json,28,/Volumes/ZGMF-X20A/GARYU/APEvASP_test_case_bench/test_cases/defect_concentration/constraints_ASP.json,17,runtime_legacy,legacy,run,632,0.010562,42.016,0.007079,43.844,0.155313,0.244674,0.006165,0.416714,325,126,126,"1,2,3,4,5,6,7,8,9",9,false,"6,compete",false
f5297510-ecb4-40fa-bf08-2939887a1c15,2026-04-12T16:57:38.099834+00:00,multi-shot,multi-shot,legacy,hybrid,/Volumes/ZGMF-X20A/GARYU/APEvASP_test_case_bench/test_cases/defect_concentration/config_ASP_defect_2000_8_WC.json,/Volumes/ZGMF-X20A/GARYU/APEvASP_test_case_bench/test_cases/defect_concentration/MaterialsScience_taxonomy.owl,94,/Volumes/ZGMF-X20A/GARYU/APEvASP_test_case_bench/test_cases/defect_concentration/tool_annotations.json,28,/Volumes/ZGMF-X20A/GARYU/APEvASP_test_case_bench/test_cases/defect_concentration/constraints_ASP.json,17,runtime_legacy,legacy,run,632,0.010820,38.938,0.007403,43.703,0.164594,0.282882,0.000532,0.458828,334,0,126,"1,2,3,4,5,6,7,8,9",9,false,,false
6b430ecb-d863-4411-bfb3-ca999bf4c021,2026-04-12T16:57:38.099890+00:00,multi-shot,multi-shot,legacy,hybrid,/Volumes/ZGMF-X20A/GARYU/APEvASP_test_case_bench/test_cases/defect_concentration/config_ASP_defect_2000_8_WC.json,/Volumes/ZGMF-X20A/GARYU/APEvASP_test_case_bench/test_cases/defect_concentration/MaterialsScience_taxonomy.owl,94,/Volumes/ZGMF-X20A/GARYU/APEvASP_test_case_bench/test_cases/defect_concentration/tool_annotations.json,28,/Volumes/ZGMF-X20A/GARYU/APEvASP_test_case_bench/test_cases/defect_concentration/constraints_ASP.json,17,runtime_legacy,legacy,run,632,0.011408,38.750,0.007398,44.078,0.165538,0.282559,0.000446,0.459951,0,0,126,"1,2,3,4,5,6,7,8,9",9,false,,false
3d038b86-a08c-4c78-a125-d119ae6c450c,2026-04-12T16:59:20.074248+00:00,multi-shot,multi-shot,legacy,hybrid,/Volumes/ZGMF-X20A/GARYU/APEvASP_test_case_bench/test_cases/defect_concentration/config_ASP_defect_2000_8_WC.json,/Volumes/ZGMF-X20A/GARYU/APEvASP_test_case_bench/test_cases/defect_concentration/MaterialsScience_taxonomy.owl,94,/Volumes/ZGMF-X20A/GARYU/APEvASP_test_case_bench/test_cases/defect_concentration/tool_annotations.json,28,/Volumes/ZGMF-X20A/GARYU/APEvASP_test_case_bench/test_cases/defect_concentration/constraints_ASP.json,17,runtime_legacy,legacy,run,632,0.011405,41.734,0.006991,43.797,0.157305,0.255457,0.000406,0.424573,0,0,126,"1,2,3,4,5,6,7,8,9",9,false,,false
