test,mode,horizon,optimized_enabled,effective_parallel_mode,compressed_candidate_engaged,translation_ms,setup_grounding_ms,solving_ms,memory_used_mb,workflow_candidates_found,constraints_used,timed_out
No4,multi-shot,1,true,"6,compete",true,952,49,0,83.95,0,true,false
No4,multi-shot,2,true,"6,compete",true,952,62,12,83.95,0,true,false
No4,multi-shot,3,true,"6,compete",true,952,387,143,83.97,14,true,false
No4,multi-shot,4,true,"6,compete",true,952,934,1358,84.03,782,true,false
No4,multi-shot,5,true,"6,compete",true,952,1714,1811,84.06,1000,true,false
No4,multi-shot,1,true,"6,compete",true,918,48,0,82.97,0,true,false
No4,multi-shot,2,true,"6,compete",true,918,59,12,82.97,0,true,false
No4,multi-shot,3,true,"6,compete",true,918,361,125,83.03,14,true,false
No4,multi-shot,4,true,"6,compete",true,918,861,1370,83.20,754,true,false
No4,multi-shot,5,true,"6,compete",true,918,1558,1544,83.20,1000,true,false
No4,multi-shot,1,true,"6,compete",true,895,44,0,82.81,0,true,false
No4,multi-shot,2,true,"6,compete",true,895,56,11,82.81,0,true,false
No4,multi-shot,3,true,"6,compete",true,895,331,111,82.81,14,true,false
No4,multi-shot,4,true,"6,compete",true,895,851,1096,82.89,754,true,false
No4,multi-shot,5,true,"6,compete",true,895,1567,1741,82.97,1000,true,false
No4,multi-shot,1,true,"6,compete",true,911,47,0,82.52,0,true,false
No4,multi-shot,2,true,"6,compete",true,911,60,13,82.52,0,true,false
No4,multi-shot,3,true,"6,compete",true,911,350,118,82.52,14,true,false
No4,multi-shot,4,true,"6,compete",true,911,896,1199,82.64,754,true,false
No4,multi-shot,5,true,"6,compete",true,911,1640,1299,82.67,1000,true,false
No4,multi-shot,1,true,"6,compete",true,911,47,0,83.61,0,true,false
No4,multi-shot,2,true,"6,compete",true,911,59,13,83.61,0,true,false
No4,multi-shot,3,true,"6,compete",true,911,359,131,83.72,14,true,false
No4,multi-shot,4,true,"6,compete",true,911,914,1205,83.77,754,true,false
No4,multi-shot,5,true,"6,compete",true,911,1730,1809,83.77,1000,true,false
No4,multi-shot,1,true,"6,compete",true,904,48,0,82.75,0,true,false
No4,multi-shot,2,true,"6,compete",true,904,59,13,82.75,0,true,false
No4,multi-shot,3,true,"6,compete",true,904,363,129,82.83,14,true,false
No4,multi-shot,4,true,"6,compete",true,904,909,1324,82.91,783,true,false
No4,multi-shot,5,true,"6,compete",true,904,1713,1519,82.91,1000,true,false
No4,multi-shot,1,false,,false,260,2347,67,72.48,0,true,false
No4,multi-shot,2,false,,false,260,303,82,72.48,0,true,false
No4,multi-shot,3,false,,false,260,526,358,72.50,14,true,false
No4,multi-shot,4,false,,false,260,970,8750,72.50,783,true,false
No4,multi-shot,5,false,,false,260,1510,3583,72.50,1000,true,false
No4,multi-shot,1,true,"6,compete",true,928,49,0,82.48,0,true,false
No4,multi-shot,2,true,"6,compete",true,928,62,13,82.48,0,true,false
No4,multi-shot,3,true,"6,compete",true,928,385,139,82.53,14,true,false
No4,multi-shot,4,true,"6,compete",true,928,925,1182,82.61,783,true,false
No4,multi-shot,5,true,"6,compete",true,928,1688,4382,82.62,3000,true,false
No4,multi-shot,1,true,"6,compete",true,1037,56,0,86.02,0,true,false
No4,multi-shot,2,true,"6,compete",true,1037,68,14,86.02,0,true,false
No4,multi-shot,3,true,"6,compete",true,1037,437,159,86.02,14,true,false
No4,multi-shot,4,true,"6,compete",true,1037,980,1389,86.02,754,true,false
No4,multi-shot,5,true,"6,compete",true,1037,1760,1594,86.02,1000,true,false
No4,multi-shot,1,true,"6,compete",true,975,51,0,87.41,0,true,false
No4,multi-shot,2,true,"6,compete",true,975,66,14,87.41,0,true,false
No4,multi-shot,3,true,"6,compete",true,975,412,152,87.42,14,true,false
No4,multi-shot,4,true,"6,compete",true,975,1004,1352,87.47,750,true,false
No4,multi-shot,5,true,"6,compete",true,975,1861,2093,87.47,1000,true,false
No4,multi-shot,1,false,,false,271,2077,75,72.20,0,true,false
No4,multi-shot,2,false,,false,271,320,92,72.20,0,true,false
No4,multi-shot,3,false,,false,271,550,405,72.20,14,true,false
No4,multi-shot,4,false,,false,271,1033,9958,72.27,750,true,false
No4,multi-shot,5,false,,false,271,1909,18846,72.34,1000,true,false
